Temperature,Humidity,Rainfall_1h,Rainfall_3h,pH,Clay_Content,Sand_Content,Silt_Content,CEC,Crop
16.77,14.548,168.13,82.57,7.86,155.7,53.67,102.12,46.0,Pearl Millet
87.55,9.145,145.35,128.86,5.11,155.13,21.39,75.67,15.98,Bamboo
16.63,93.658,7.72,136.74,3.86,146.86,141.9,89.73,92.68,Cotton
11.76,196.544,71.58,40.16,5.22,99.76,6.69,157.73,44.11,Carrot
50.37,25.328,78.86,167.22,7.38,163.48,41.22,103.91,1.86,Pearl Millet
28.99,79.194,124.46,97.54,0.5,151.78,29.76,162.99,70.8,Chickpea
76.09,16.879,6.1,43.88,2.13,120.69,117.54,12.25,87.3,Cabbage
22.02,20.081,2.8,32.77,2.44,9.18,28.13,35.35,19.46,Ginger
62.2,139.457,75.64,1.61,2.16,66.16,160.63,50.96,30.21,Papaya
81.34,96.647,182.53,157.62,7.61,193.78,113.75,56.12,85.54,Mango
26.89,159.281,64.72,111.27,9.5,173.77,11.68,119.56,8.04,Ginger
10.02,123.748,17.39,124.23,6.1,167.12,123.89,51.82,36.05,Carrot
45.54,87.776,19.2,13.5,5.35,167.46,171.46,182.27,75.57,Coconut
21.47,62.893,188.71,29.7,6.28,126.05,196.25,80.39,7.29,Mango
87.79,49.871,150.31,69.94,6.4,172.59,118.24,49.11,23.78,Onion
56.23,119.731,57.52,179.8,8.91,130.57,192.97,33.48,32.56,Sesame
26.55,53.748,33.6,34.23,4.43,126.36,23.63,171.39,49.98,Pistachio
82.91,175.847,90.53,25.74,1.42,44.44,64.72,26.18,90.84,Cotton
44.29,23.666,80.89,6.4,6.76,107.86,173.67,64.15,59.32,Tomato
33.02,58.789,114.69,92.65,5.58,142.32,143.49,63.75,90.97,Mango
75.05,29.069,111.47,138.98,2.93,86.95,153.6,108.28,15.97,Mango
7.34,135.405,12.92,22.34,8.86,189.47,104.28,11.47,53.84,Chickpea
88.05,154.96,62.98,71.64,4.59,150.3,143.87,118.87,9.47,Cabbage
14.26,145.196,137.48,189.83,5.38,160.25,154.49,35.34,59.34,Ginger
50.4,40.669,96.34,66.22,4.71,70.63,120.79,53.39,71.92,Chickpea
46.72,162.447,108.17,31.86,3.48,17.57,32.95,165.38,76.39,Bamboo
33.44,164.88,60.97,56.83,5.19,49.39,31.59,43.37,41.47,Cabbage
25.9,61.081,137.04,174.46,5.98,98.65,93.55,81.62,12.31,Chickpea
67.75,68.175,108.08,193.63,0.14,196.7,182.95,92.44,58.56,Onion
66.04,154.253,41.65,196.57,0.72,163.04,113.72,55.97,67.1,Sesame
15.43,160.51,132.61,73.64,9.99,190.53,152.44,83.54,16.25,Coconut
74.94,52.321,7.11,148.63,3.67,54.21,147.0,153.22,32.53,Pearl Millet
81.11,44.894,98.24,42.47,0.63,141.66,194.56,147.39,24.5,Chickpea
89.85,123.701,61.7,166.57,5.28,39.77,196.97,171.97,63.11,Cotton
90.56,110.578,83.95,95.14,9.9,103.69,177.04,62.91,84.34,Pistachio
74.49,115.366,56.42,156.7,6.79,89.98,121.78,119.55,32.0,Orange
52.06,73.66,171.31,181.86,8.25,2.21,118.48,133.53,65.11,Onion
71.39,21.294,55.33,67.84,3.25,194.38,43.96,88.15,28.9,Pistachio
99.85,106.235,79.65,129.34,0.76,84.23,28.76,89.77,12.9,Rye
57.2,115.471,141.23,158.33,0.47,163.6,142.04,33.05,68.87,Cotton
90.03,181.516,169.64,135.02,8.14,8.86,196.59,83.83,5.23,Barley
50.63,140.633,188.98,63.42,9.81,148.0,66.75,81.7,54.16,Carrot
68.12,25.344,17.31,62.5,2.24,19.85,146.4,68.34,77.04,Bamboo
44.26,84.953,152.68,95.89,0.37,121.0,162.17,0.33,83.71,Bamboo
36.85,60.77,11.51,25.4,4.82,140.2,176.65,137.67,84.52,Cabbage
81.83,174.841,75.85,168.01,1.2,20.45,156.01,67.38,74.26,Cabbage
71.98,47.697,32.38,84.0,5.75,35.88,110.71,70.32,78.44,Cotton
51.87,187.794,180.92,190.71,2.0,121.95,67.43,65.33,53.53,Pearl Millet
63.12,132.925,51.08,16.61,4.52,46.71,186.99,193.88,15.53,Cotton
17.72,58.194,26.75,42.64,8.45,158.71,109.32,40.87,35.53,Sesame
71.99,182.259,106.83,177.89,0.88,75.28,52.57,58.57,63.82,Coconut
46.84,70.569,101.32,44.7,9.97,16.02,48.16,68.56,38.8,Barley
7.83,95.831,80.14,31.97,0.52,48.26,121.98,181.43,42.13,Pistachio
36.14,66.207,91.67,147.04,3.12,111.62,112.28,19.51,88.08,Barley
61.64,94.208,182.74,166.17,6.49,33.65,197.63,119.82,88.2,Tomato
42.22,42.68,64.63,114.56,8.8,74.8,135.81,115.46,25.15,Pistachio
53.89,162.819,121.94,77.2,1.43,47.21,114.54,69.62,2.13,Pearl Millet
59.57,120.488,69.76,127.45,8.09,45.06,75.96,95.14,8.95,Onion
79.2,114.538,65.71,70.77,4.63,153.21,14.51,156.9,28.68,Cabbage
67.17,97.612,90.74,61.5,3.95,70.94,148.68,165.29,62.86,Ginger
34.5,189.221,29.45,66.53,6.47,172.27,28.82,80.58,57.02,Cotton
10.38,137.92,185.87,129.9,4.11,193.44,70.33,102.54,46.01,Bamboo
98.82,28.23,50.04,139.74,1.85,88.08,1.36,89.18,52.36,Cotton
96.51,119.34,71.56,127.03,0.89,62.04,74.41,100.4,22.37,Mango
8.31,81.296,60.47,97.36,6.6,62.41,141.96,7.59,97.63,Cotton
11.46,24.941,51.37,105.6,3.93,97.26,180.75,79.3,30.89,Carrot
10.62,121.861,84.49,137.44,4.41,137.96,51.52,105.35,16.82,Orange
2.88,56.251,10.2,52.87,3.75,68.49,171.75,11.75,1.06,Mango
68.61,169.093,178.69,179.13,2.89,158.63,133.48,191.84,45.01,Rye
14.01,131.795,15.12,171.55,9.53,194.68,154.0,45.22,27.38,Carrot
42.6,130.588,40.02,189.78,4.42,21.45,107.99,44.69,70.25,Orange
92.29,88.905,119.19,37.01,0.67,58.01,198.99,46.34,17.38,Rye
51.37,105.076,169.58,98.58,7.93,25.86,58.55,112.78,47.31,Papaya
96.34,168.563,114.81,166.77,4.06,106.42,72.77,155.84,49.33,Coconut
0.17,102.648,174.64,166.53,7.16,49.75,72.46,192.66,98.59,Pistachio
87.42,189.022,15.57,166.01,2.39,174.98,48.33,173.0,83.89,Onion
99.29,91.963,66.47,13.85,3.73,92.12,113.61,150.54,55.19,Onion
43.86,95.679,84.04,29.14,1.06,128.55,46.69,126.74,87.58,Ginger
94.29,93.177,23.75,47.23,3.86,62.06,156.39,171.55,84.55,Ginger
44.97,181.418,25.3,107.66,5.95,199.47,142.07,85.41,93.13,Rye
78.01,179.017,0.03,9.47,2.06,13.7,65.81,136.32,48.36,Sesame
93.93,50.768,179.77,71.1,3.32,23.46,34.49,112.96,62.23,Cabbage
74.52,167.061,11.59,63.26,5.27,76.71,131.0,156.6,32.75,Sesame
72.74,54.29,151.47,7.5,2.77,146.05,25.07,11.93,45.46,Tomato
15.67,197.07,163.56,85.45,9.36,186.66,184.46,112.47,23.35,Cabbage
8.65,72.07,197.65,191.34,0.96,3.08,8.2,182.26,12.92,Papaya
22.45,42.241,89.72,137.01,0.83,152.36,97.74,113.04,23.58,Barley
47.14,113.797,122.37,186.51,0.8,165.48,1.69,132.96,42.72,Cabbage
98.52,139.982,187.15,72.26,0.78,154.24,186.39,139.35,64.31,Bamboo
36.1,10.627,18.81,116.74,6.45,161.41,45.43,112.3,46.39,Ginger
80.27,146.95,78.07,40.67,1.3,121.59,70.04,72.15,37.85,Mango
64.34,161.155,65.63,89.52,2.33,184.95,70.9,157.68,27.88,Orange
27.36,58.676,28.0,172.35,5.87,11.95,107.2,95.1,65.23,Cabbage
88.27,174.995,188.29,192.4,7.69,169.34,75.74,24.83,8.4,Barley
62.64,49.199,173.97,61.6,3.36,38.66,198.75,26.8,82.83,Coconut
10.78,179.637,27.47,53.35,2.35,108.27,175.8,172.75,63.06,Ginger
26.12,125.434,6.59,81.63,1.11,95.11,65.4,97.93,92.6,Coconut
14.8,86.435,10.84,53.39,5.15,74.18,100.48,87.85,34.02,Sesame
81.8,21.278,46.35,161.46,1.72,119.82,78.72,146.41,1.86,Mango
6.75,5.971,21.49,152.23,4.86,99.31,162.37,96.23,18.97,Cabbage
82.55,183.407,88.68,35.58,3.88,197.93,75.56,139.02,37.76,Orange
3.28,64.22,97.7,174.62,3.5,35.15,39.97,159.0,49.14,Papaya
3.07,57.726,61.26,196.16,9.94,100.57,87.46,126.58,9.11,Onion
56.98,186.874,136.46,143.09,0.04,111.01,15.65,58.55,75.32,Mango
79.54,133.784,52.94,103.3,9.03,89.21,66.78,140.25,10.18,Barley
58.74,179.37,193.24,114.68,0.0,180.1,9.24,137.04,65.42,Bamboo
32.53,154.341,128.93,106.79,2.72,108.82,40.51,135.35,86.76,Rye
95.06,66.939,17.44,34.39,7.61,120.13,138.14,65.14,0.81,Carrot
14.07,166.422,184.24,79.32,2.21,157.02,121.32,21.19,70.32,Cabbage
20.79,166.784,7.59,173.6,4.1,75.83,120.68,113.7,31.02,Chickpea
10.65,48.504,11.05,57.75,7.22,81.35,128.34,80.94,20.19,Ginger
87.09,114.907,140.41,89.75,5.96,181.65,122.8,85.59,47.84,Coconut
21.88,159.091,40.78,99.5,0.94,30.53,46.66,103.38,62.97,Onion
83.76,180.851,63.8,74.14,1.3,91.57,120.24,189.06,49.58,Pistachio
31.76,171.491,94.84,148.79,5.47,107.97,93.28,96.24,44.69,Bamboo
78.37,152.062,43.73,57.87,7.39,194.4,155.1,185.42,41.76,Onion
70.91,147.584,12.98,111.96,8.92,30.11,96.87,190.71,82.84,Mango
40.41,5.439,144.87,155.09,5.44,52.85,120.18,199.53,27.45,Tomato
26.55,133.68,86.9,37.03,0.14,111.84,94.42,168.88,46.94,Coconut
81.58,90.56,103.2,179.98,0.54,89.95,194.07,174.78,48.2,Onion
50.71,73.713,16.99,109.18,4.5,10.64,18.86,147.97,71.34,Carrot
54.4,53.641,60.47,46.01,8.02,194.01,38.46,197.58,16.75,Onion
99.17,192.997,128.32,135.18,3.7,142.81,40.76,188.02,59.33,Orange
95.4,19.904,153.1,117.88,5.71,118.55,45.99,147.93,53.94,Ginger
54.01,31.822,56.53,126.96,6.23,67.13,27.23,56.91,86.64,Cotton
60.22,19.585,192.55,145.56,6.91,73.31,186.47,98.28,67.12,Ginger
20.36,170.497,63.49,94.31,0.29,183.97,11.85,51.38,75.52,Papaya
9.64,7.057,170.8,196.48,8.41,7.84,101.14,5.02,83.74,Ginger
14.06,147.54,38.34,135.3,9.68,116.1,0.56,171.01,31.17,Mango
49.47,166.369,118.63,144.33,7.04,62.91,33.82,121.59,64.62,Mango
2.72,34.255,41.18,19.44,8.11,38.86,40.22,97.31,14.18,Cabbage
48.16,157.117,104.51,163.15,2.69,22.2,165.54,197.44,85.4,Onion
31.06,164.455,162.78,105.99,9.45,183.38,159.12,81.27,9.91,Cabbage
16.93,46.202,162.95,187.59,9.03,178.41,46.5,115.83,94.37,Papaya
92.81,62.752,12.43,37.11,2.97,98.84,156.12,106.51,40.2,Cabbage
51.34,167.911,95.47,20.67,5.08,63.19,107.55,26.14,1.4,Papaya
81.64,82.829,188.25,163.65,1.56,130.05,151.33,117.45,4.82,Papaya
54.01,189.741,80.75,45.62,1.1,156.28,192.32,151.9,67.02,Ginger
61.85,33.07,0.49,44.36,8.46,166.75,195.79,70.83,13.85,Coconut
48.33,141.015,199.95,99.14,8.67,185.72,69.52,117.55,14.6,Coconut
3.45,140.719,31.1,199.27,4.13,32.06,101.91,79.24,22.3,Onion
33.4,29.789,127.72,41.81,4.07,70.51,6.76,89.88,99.01,Papaya
66.35,176.428,107.65,10.68,3.94,65.99,107.5,16.77,8.18,Pearl Millet
36.5,151.923,56.58,199.63,9.98,36.54,76.52,168.34,48.79,Rye
24.25,85.897,91.29,17.73,1.85,194.04,157.52,180.85,90.66,Pistachio
94.3,101.292,140.93,144.45,9.23,46.41,18.44,5.23,30.84,Pistachio
29.32,131.044,146.08,100.28,5.38,106.49,164.51,65.24,27.74,Orange
46.9,135.341,49.7,125.26,5.71,79.12,15.91,122.09,10.51,Cotton
76.59,70.999,170.02,6.58,0.45,56.78,55.83,103.64,41.82,Orange
80.17,193.763,37.6,169.09,5.52,10.02,29.57,144.14,65.77,Orange
74.35,177.391,138.26,197.18,3.68,168.69,192.09,163.07,57.59,Sesame
81.13,78.771,109.29,84.1,2.37,125.37,57.62,95.11,73.95,Ginger
24.96,40.143,63.93,147.89,8.23,191.0,69.59,140.52,73.85,Orange
40.92,42.117,106.45,9.91,4.49,183.54,55.85,7.28,52.69,Chickpea
40.43,125.771,40.4,66.76,5.6,39.03,73.73,12.6,10.13,Barley
91.48,26.139,14.67,22.24,9.9,58.49,135.08,22.67,13.55,Pistachio
42.11,84.537,89.33,27.69,6.24,172.24,149.26,45.31,49.34,Carrot
9.59,29.139,174.35,160.17,9.04,64.93,192.57,162.32,72.36,Cotton
51.68,149.451,16.76,165.4,4.3,157.67,100.64,112.35,89.78,Cabbage
49.83,72.294,11.18,146.12,3.35,171.67,96.77,8.56,45.4,Pearl Millet
35.0,195.79,156.58,94.5,6.96,171.96,132.04,79.67,37.41,Carrot
93.73,4.083,62.3,123.41,2.45,22.3,49.73,139.42,54.75,Tomato
45.21,173.124,185.98,142.88,8.39,69.19,136.22,99.24,42.21,Tomato
15.92,33.167,116.06,54.43,4.08,96.92,115.6,131.05,53.47,Sesame
79.14,12.442,118.09,65.42,3.73,133.6,113.95,4.4,86.69,Orange
95.25,6.5,61.89,158.38,1.89,199.12,185.93,47.17,14.93,Cotton
68.92,132.575,19.96,32.84,4.62,65.11,57.17,172.76,5.54,Pistachio
12.04,13.324,143.58,32.85,9.18,173.57,137.47,185.07,93.46,Pearl Millet
16.99,105.487,146.83,56.69,0.68,17.1,118.14,150.32,69.75,Cabbage
12.73,34.75,39.14,64.93,9.28,110.79,143.95,99.13,68.27,Cotton
33.7,13.009,89.84,25.6,4.66,159.45,56.43,132.67,64.09,Papaya
87.54,163.934,83.83,1.4,6.6,20.62,4.37,18.72,14.39,Tomato
65.43,14.468,71.07,191.06,1.15,123.53,23.05,150.45,46.94,Papaya
68.22,197.184,116.11,125.89,1.26,116.76,146.46,148.28,73.43,Cabbage
37.57,116.645,142.31,162.72,4.31,54.46,9.69,6.49,85.33,Barley
12.55,161.955,112.2,51.44,1.28,53.47,166.22,3.71,22.23,Sesame
83.43,21.398,103.02,114.0,1.72,95.67,58.39,160.94,73.7,Papaya
19.03,138.709,84.28,57.7,8.09,156.14,190.2,58.36,18.36,Bamboo
68.19,124.747,160.16,167.02,7.15,169.24,40.61,86.86,79.31,Pearl Millet
28.04,52.136,118.72,41.91,4.15,0.9,179.09,143.32,31.05,Rye
83.77,10.671,169.44,68.83,3.79,60.67,71.17,150.25,38.07,Cabbage
86.83,156.129,85.3,95.29,4.82,177.9,187.18,113.92,8.88,Carrot
49.95,14.989,48.66,183.64,2.49,146.56,37.56,5.71,92.61,Orange
49.11,69.576,181.77,199.77,9.29,164.04,44.34,137.17,46.18,Sesame
75.86,73.47,50.28,3.7,3.68,36.23,98.75,157.01,59.12,Bamboo
80.39,133.083,173.34,51.22,2.4,114.32,178.54,49.61,43.94,Pearl Millet
70.48,80.81,46.68,147.53,9.77,131.02,13.51,79.31,83.0,Barley
69.75,119.765,81.93,188.48,4.46,101.87,78.08,73.83,98.11,Mango
71.04,110.596,127.44,29.72,3.12,83.73,113.17,123.79,29.38,Bamboo
14.01,15.321,10.88,26.52,4.8,60.67,37.82,178.68,88.94,Mango
94.96,179.804,76.31,189.55,1.7,150.25,62.24,0.32,65.72,Rye
67.88,32.938,187.7,33.62,6.17,179.61,114.88,170.74,70.19,Orange
85.12,135.109,190.81,169.32,6.8,27.02,174.51,115.73,16.45,Chickpea
71.88,136.968,31.86,190.93,5.08,95.28,128.38,97.98,40.57,Carrot
17.55,178.273,18.58,132.83,8.66,158.27,89.25,107.0,2.4,Sesame
81.47,81.839,62.62,57.91,5.54,194.31,194.74,184.65,45.25,Barley
99.06,30.155,160.67,0.51,3.9,195.74,21.05,155.73,23.91,Coconut
92.83,29.906,184.05,125.45,5.25,17.23,72.34,18.04,31.05,Chickpea
73.23,48.27,121.52,97.57,0.34,191.43,49.59,173.48,16.99,Cabbage
14.41,6.93,59.18,181.59,4.85,139.81,137.99,50.12,15.93,Cabbage
56.48,61.376,190.18,85.85,4.72,196.01,63.84,180.87,22.08,Mango
93.94,153.217,128.38,198.66,5.4,91.25,124.83,169.67,32.12,Pistachio
20.34,77.133,120.0,116.94,8.81,12.9,49.71,59.75,64.96,Cotton
38.05,29.29,153.74,8.0,4.99,11.49,112.94,9.19,76.13,Pearl Millet
88.26,144.955,37.72,47.13,2.1,142.24,109.85,7.57,16.59,Papaya
49.84,186.858,134.59,94.93,7.39,78.5,35.37,198.76,40.3,Rye
29.47,82.208,112.14,110.06,8.31,97.57,22.02,53.65,21.7,Rye
31.28,177.563,40.18,186.68,0.34,78.17,141.64,197.81,50.03,Bamboo
23.23,75.833,6.25,120.21,9.43,191.61,128.07,176.56,96.52,Cotton
27.36,170.592,193.88,25.35,1.47,95.04,199.27,97.16,75.87,Onion
97.29,168.832,162.38,135.88,7.76,75.17,181.39,84.49,85.51,Onion
48.56,26.484,34.45,42.53,6.45,88.86,12.5,24.82,7.77,Cabbage
49.43,11.046,38.9,76.89,5.83,90.89,120.3,112.52,71.96,Pearl Millet
68.53,106.665,185.64,67.88,3.51,143.42,152.25,11.88,69.45,Pistachio
78.67,89.728,22.55,72.8,6.44,73.01,84.81,95.5,42.9,Papaya
37.73,102.209,82.28,77.54,0.26,161.31,180.89,55.63,50.63,Onion
98.78,135.571,86.68,28.68,3.29,27.04,53.93,119.73,14.39,Ginger
92.11,78.727,75.43,37.31,7.14,5.22,76.88,168.81,48.33,Mango
39.97,115.687,184.17,5.27,2.78,150.52,87.78,102.78,44.66,Cotton
53.82,134.883,162.29,104.41,1.43,94.71,7.33,4.59,3.74,Papaya
81.92,115.079,106.04,65.41,9.39,38.71,197.31,117.86,67.49,Pistachio
70.45,56.362,92.66,198.72,2.1,165.28,187.89,66.91,25.97,Pearl Millet
60.1,164.719,55.13,197.35,4.31,194.69,166.21,45.41,15.14,Pearl Millet
74.83,58.95,62.14,64.65,1.12,154.21,174.72,31.54,93.84,Cotton
91.62,186.316,181.57,49.34,0.53,59.0,50.76,17.21,95.16,Pistachio
98.93,11.415,128.04,179.85,3.44,114.9,71.2,1.18,67.32,Sesame
85.98,2.974,100.51,1.75,6.49,37.34,110.92,82.06,73.16,Onion
46.63,175.702,72.76,19.51,7.3,26.96,146.86,184.12,67.24,Chickpea
77.92,101.086,126.05,76.43,4.06,66.26,133.14,15.49,30.78,Coconut
63.22,153.317,43.01,164.4,4.53,22.09,74.83,80.86,67.33,Barley
90.19,110.876,9.18,189.0,5.47,40.58,119.42,52.27,12.07,Sesame
83.53,106.207,19.62,51.43,9.46,159.68,69.32,135.89,95.42,Carrot
23.96,151.408,95.32,56.28,4.15,104.56,17.57,126.16,70.37,Bamboo
49.42,176.436,158.13,20.68,5.99,194.43,103.44,67.51,4.22,Rye
81.68,65.091,117.65,14.06,3.05,132.22,55.77,30.51,91.68,Papaya
65.62,11.132,121.25,12.72,3.81,122.64,80.93,83.86,9.17,Carrot
65.67,147.777,131.2,112.58,4.32,47.52,197.22,30.97,47.26,Pearl Millet
78.37,156.265,132.65,106.76,2.96,74.42,20.07,107.43,70.2,Sesame
76.83,108.525,83.41,85.83,6.98,176.43,182.89,40.84,86.28,Carrot
75.21,9.146,110.1,79.71,7.01,120.06,85.05,92.06,24.36,Rye
10.13,78.959,2.42,113.53,5.86,75.28,191.08,121.71,93.95,Cotton
7.52,56.399,96.57,145.15,4.51,170.34,145.43,12.31,52.6,Cotton
49.52,166.205,29.5,2.42,6.67,46.0,69.14,172.69,32.47,Pearl Millet
48.06,123.97,64.94,48.04,2.74,145.72,129.85,173.31,95.12,Coconut
50.55,32.13,50.37,106.38,6.83,85.16,151.09,110.08,6.82,Mango
5.36,176.704,176.86,82.03,7.05,95.91,2.76,51.87,59.72,Mango
60.39,97.006,86.85,20.34,2.84,51.95,158.88,35.46,97.58,Pistachio
4.11,154.84,94.36,180.2,9.89,67.92,135.86,117.82,24.1,Pearl Millet
44.64,192.922,75.83,114.41,6.47,118.83,170.67,138.18,63.04,Orange
89.39,192.172,156.85,18.76,7.8,92.31,173.18,33.3,94.45,Pistachio
70.4,153.452,166.13,79.93,5.12,89.21,161.79,119.37,45.41,Cabbage
46.24,179.199,117.38,182.69,6.6,96.03,46.87,154.45,26.62,Mango
76.56,9.882,195.27,118.57,2.92,90.38,182.89,139.5,34.55,Pistachio
77.84,72.385,55.6,196.68,6.23,164.97,7.0,184.52,24.31,Cotton
81.67,0.349,123.33,109.53,6.12,76.47,100.86,149.55,26.81,Pearl Millet
48.29,41.701,168.77,130.97,7.04,110.5,115.36,104.33,24.09,Ginger
17.91,104.681,11.29,19.26,2.27,112.36,23.17,156.37,90.32,Papaya
48.4,26.343,65.91,61.02,2.96,54.29,15.9,92.4,75.07,Onion
16.11,153.789,80.68,118.57,6.79,15.36,49.36,81.98,3.98,Onion
44.95,111.294,186.31,72.77,9.46,83.08,143.0,131.34,66.66,Cabbage
3.56,192.703,60.93,172.94,2.54,106.91,63.75,99.89,42.91,Cotton
33.4,116.581,159.76,108.5,5.31,49.31,94.15,21.38,26.02,Papaya
13.58,33.817,194.65,46.83,7.87,76.96,156.61,101.98,84.82,Pearl Millet
28.3,163.208,103.03,159.74,5.22,190.93,164.57,122.22,76.76,Ginger
71.76,196.444,155.03,149.91,2.73,47.82,74.72,46.4,87.53,Cotton
38.44,85.91,40.93,147.01,6.22,180.19,88.55,175.68,2.77,Pearl Millet
23.99,67.771,196.31,189.14,8.77,115.4,136.91,186.52,90.93,Bamboo
35.58,93.24,6.18,194.29,2.21,20.35,140.54,100.94,29.65,Ginger
79.17,39.461,81.55,39.41,3.16,52.75,46.81,32.55,69.49,Cotton
25.39,67.995,190.61,148.72,1.33,175.69,187.26,114.29,21.7,Pistachio
94.54,74.438,0.9,179.95,0.4,117.42,184.57,199.96,75.37,Orange
92.51,11.412,15.25,195.0,0.3,57.07,162.86,1.17,92.83,Pistachio
3.38,194.596,197.29,62.59,3.3,64.9,50.56,58.02,23.44,Coconut
60.66,48.876,186.17,65.25,3.81,155.6,163.7,130.12,13.33,Ginger
85.1,17.132,184.42,156.88,2.44,161.45,35.69,11.58,71.13,Carrot
30.27,167.407,60.75,131.81,1.49,5.36,164.57,6.48,14.61,Tomato
21.85,108.694,109.03,155.88,3.4,163.55,14.06,97.48,58.92,Pearl Millet
63.09,106.547,87.65,67.31,3.83,57.39,52.03,140.61,79.56,Pistachio
58.77,177.824,120.49,175.88,9.06,124.65,62.25,50.42,68.41,Pistachio
22.57,179.049,121.88,154.71,4.88,142.19,137.28,155.43,38.27,Cotton
46.41,163.817,179.25,8.47,3.08,103.24,39.07,138.98,5.05,Carrot
33.02,32.61,27.88,69.54,0.68,188.61,82.5,70.01,90.34,Cotton
19.58,144.095,116.86,44.52,3.67,69.57,154.67,142.45,82.64,Bamboo
75.93,150.614,19.46,12.86,1.19,168.21,2.03,175.3,24.01,Mango
11.68,7.123,108.5,158.45,6.33,74.04,104.23,157.79,42.96,Chickpea
99.78,84.535,193.65,171.47,2.61,122.94,88.86,22.03,40.25,Tomato
98.28,11.993,1.25,147.98,1.41,166.56,29.8,68.7,74.33,Orange
88.74,162.614,63.93,21.52,7.54,91.01,190.49,163.51,34.37,Rye
48.87,160.19,5.36,51.55,0.45,66.96,194.2,143.26,79.73,Bamboo
41.01,123.29,46.32,154.19,5.46,9.91,99.36,196.53,10.51,Mango
22.88,19.203,54.23,18.55,4.01,196.32,60.12,25.11,39.89,Papaya
96.86,177.427,19.32,13.46,0.45,97.27,1.35,86.03,57.42,Rye
71.27,85.889,1.61,33.24,3.88,36.98,189.04,65.94,80.66,Coconut
64.38,20.685,46.96,73.42,9.87,109.86,188.32,2.19,68.28,Pistachio
39.99,30.64,108.11,18.04,2.72,95.76,6.04,106.52,36.85,Pistachio
8.37,158.936,173.72,147.49,1.85,146.02,47.83,158.2,24.42,Bamboo
36.23,132.486,25.69,56.08,5.22,113.1,76.47,57.95,11.23,Tomato
9.72,83.095,167.11,183.41,5.73,29.08,185.69,7.93,23.1,Sesame
70.97,95.394,112.75,198.06,9.19,22.63,21.25,120.94,87.82,Pistachio
60.63,199.52,135.9,49.08,5.59,89.07,118.06,134.08,84.62,Papaya
24.88,103.22,2.52,104.19,0.16,27.8,160.07,68.89,70.27,Onion
76.08,168.997,62.59,149.04,3.26,47.5,86.33,183.12,3.93,Pearl Millet
74.95,0.412,68.62,10.2,4.49,106.92,113.75,143.24,23.26,Pearl Millet
1.37,38.811,7.26,123.43,7.36,189.19,16.67,83.78,64.37,Onion
12.95,152.237,196.04,123.17,2.74,167.53,92.47,172.99,10.9,Mango
9.17,132.564,168.18,58.71,1.7,152.02,98.54,118.56,31.38,Orange
76.07,117.875,184.8,62.61,9.09,71.14,163.79,11.33,81.4,Carrot
5.43,15.036,92.32,90.65,7.86,92.4,149.05,192.42,2.49,Carrot
52.09,63.285,49.67,191.22,0.88,40.58,182.96,30.14,96.99,Orange
83.2,116.151,165.24,104.11,4.64,197.02,189.95,113.98,48.04,Mango
36.28,180.38,113.57,123.62,7.51,152.78,69.23,172.25,86.89,Rye
59.38,179.869,30.21,197.4,3.65,4.98,5.88,13.47,97.06,Bamboo
53.27,81.864,124.35,97.16,9.54,189.11,40.01,178.61,43.83,Carrot
25.54,105.358,44.7,50.95,9.27,105.26,157.08,50.58,2.18,Pearl Millet
39.77,181.929,133.67,140.38,7.91,79.43,154.8,135.52,83.19,Bamboo
26.97,72.37,176.73,188.64,9.31,98.67,28.06,23.73,84.02,Cotton
83.91,87.627,175.96,24.91,7.84,129.22,7.68,37.37,51.33,Cabbage
22.26,107.288,163.36,149.76,0.01,158.31,167.68,138.29,25.74,Orange
3.75,14.274,117.14,12.4,1.26,153.12,123.24,53.7,91.21,Barley
99.9,44.104,125.32,109.41,7.73,81.99,188.19,193.26,40.17,Cotton
43.07,150.119,146.35,2.16,7.8,23.36,102.7,86.66,63.56,Cotton
37.32,43.452,12.38,35.66,7.69,15.8,28.84,76.39,38.01,Carrot
20.15,28.991,87.16,166.58,3.97,139.64,7.68,85.8,11.75,Carrot
71.61,170.721,25.32,192.28,1.39,68.16,162.66,182.5,52.53,Rye
88.96,142.736,14.89,128.98,5.1,186.2,111.17,89.31,57.82,Bamboo
33.16,28.178,143.7,31.62,0.74,146.97,151.32,131.4,6.1,Coconut
85.59,54.693,4.44,181.01,0.42,115.93,12.71,22.37,54.1,Barley
96.55,145.527,63.36,90.2,9.62,155.09,152.36,71.21,23.51,Coconut
66.87,126.384,58.58,195.13,5.03,87.73,187.04,169.88,65.43,Sesame
65.72,71.926,129.29,58.38,0.59,157.26,61.76,198.26,86.7,Coconut
9.42,10.43,185.54,184.25,4.57,136.38,172.78,145.72,84.95,Barley
75.35,88.901,81.97,123.16,8.67,16.05,43.9,189.01,48.74,Barley
47.5,5.497,91.17,123.44,0.86,123.23,101.0,164.41,1.62,Tomato
97.25,38.144,35.27,9.44,1.86,168.09,141.02,87.08,98.56,Pistachio
99.1,177.319,69.86,158.25,3.36,118.84,137.45,196.73,31.19,Pearl Millet
95.13,70.106,153.87,61.68,1.17,178.57,147.73,65.06,63.9,Pearl Millet
41.99,140.711,30.8,38.92,3.16,162.8,62.47,50.95,67.95,Orange
73.57,196.635,25.04,163.58,1.53,33.69,97.42,174.86,29.42,Orange
